,City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
4,1254046,Tura,IN,25.52,90.22,74.25,89,0,2.28,1603042087
6,3708911,Guararé,PA,7.82,-80.28,82.4,83,75,6.93,1603042331
7,3831208,Qaanaaq,GL,77.48,-69.36,32.13,91,92,7.43,1603042075
9,2126199,Cherskiy,RU,68.75,161.3,19.45,92,80,7.78,1603042331
10,4845585,Westport,US,41.14,-73.36,64.0,48,20,11.41,1603042331
11,1272140,Dwārka,IN,22.24,68.97,83.77,81,0,12.68,1603042331
12,6170031,Tuktoyaktuk,CA,69.45,-133.04,10.4,92,20,5.82,1603042332
14,5122534,Jamestown,US,42.1,-79.24,59.0,43,1,13.87,1603042087
16,1735106,George Town,MY,5.41,100.34,82.4,88,20,6.4,1603042066
17,3424607,Tasiilaq,GL,65.61,-37.64,33.8,74,35,17.22,1603042332
18,2110227,Butaritari,KI,3.07,172.79,81.61,73,68,17.72,1603042063
19,2017155,Saskylakh,RU,71.92,114.08,19.09,97,97,5.64,1603042332
20,6165406,Thompson,CA,55.74,-97.86,26.6,92,90,6.93,1603042332
21,1731298,Aloleng,PH,16.13,119.78,79.65,80,87,7.81,1603042332
23,2416061,Sanguéya,GN,10.7,-14.37,84.22,82,92,2.91,1603042332
25,2128975,Nemuro,JP,43.32,145.57,54.23,75,0,15.26,1603042333
27,6089245,Norman Wells,CA,65.28,-126.83,6.8,92,40,5.82,1603042333
28,2028164,Deputatsky,RU,69.3,139.9,13.48,96,100,9.48,1603042333
31,517958,Novosheshminsk,RU,55.07,51.23,48.97,79,100,22.57,1603042333
33,2956093,Angermünde,DE,53.02,14.0,46.0,79,91,8.32,1603042333
34,6185377,Yellowknife,CA,62.46,-114.35,27.0,92,90,6.93,1603042333
36,698247,Ostër,UA,50.95,30.88,48.99,88,85,11.56,1603042334
37,4231997,Avera,US,33.19,-82.53,69.8,60,40,6.93,1603042151
38,3984997,San Quintín,MX,30.48,-115.95,81.37,44,44,13.47,1603042334
42,546105,Nikolskoye,RU,59.7,30.79,36.0,93,90,4.47,1603042334
44,5848280,Kapaa,US,22.08,-159.32,78.8,88,75,8.05,1603042334
45,1267390,Kavaratti,IN,10.57,72.64,81.25,78,1,10.94,1603042334
46,2025456,Chernyshevskiy,RU,63.01,112.47,16.34,97,30,6.51,1603042335
48,1244926,Hambantota,LK,6.12,81.12,78.91,79,69,15.68,1603042335
50,4272340,Great Bend,US,38.36,-98.76,41.0,64,90,21.92,1603042317
51,141665,Bandar-e Lengeh,IR,26.56,54.88,77.0,44,0,4.7,1603042335
53,1505965,Igrim,RU,63.19,64.42,29.95,94,71,6.91,1603042335
55,5062292,Valley City,US,46.92,-98.0,30.2,58,90,14.99,1603042335
56,1519030,Chu,KZ,43.6,73.76,50.31,42,0,2.42,1603042335
57,2338660,Yaan,NG,7.38,8.57,76.93,83,57,2.53,1603042336
58,3985710,Cabo San Lucas,MX,22.89,-109.91,90.0,70,5,10.29,1603042224
60,1526038,Atbasar,KZ,51.8,68.33,36.32,71,14,3.27,1603042336
61,2294915,Takoradze,GH,4.88,-1.76,77.97,87,78,9.35,1603042336
62,1170219,Mithi,PK,24.73,69.8,89.67,57,10,3.04,1603042336
63,1715015,Dicabisagan,PH,17.08,122.42,77.22,85,50,7.4,1603042336
65,3035883,Autun,FR,46.95,4.3,53.6,54,90,3.36,1603042336
66,3175096,Laas,IT,46.62,10.7,46.0,65,5,0.76,1603042336
67,2392505,Nikki,BJ,9.94,3.21,80.15,65,0,3.02,1603042336
69,5570065,Red Bluff,US,40.18,-122.24,80.01,29,1,5.82,1603042065
71,3105522,Bereda,ES,43.27,-7.54,61.0,81,76,5.01,1603042337
72,337083,Gēdo,ET,9.02,37.45,52.34,96,91,2.04,1603042337
74,5855927,Hilo,US,19.73,-155.09,73.4,69,75,5.82,1603042165
76,582447,Almaznyy,RU,48.04,40.05,62.6,77,67,6.71,1603042337
77,2409914,Bonthe,SL,7.53,-12.51,82.08,80,93,8.72,1603042154
79,5866583,Saint Paul Harbor,US,57.79,-152.41,42.8,75,75,7.14,1603042337
80,1268469,Kālānwāli,IN,29.85,74.95,70.9,22,0,1.43,1603042337
81,5380437,Pacific Grove,US,36.62,-121.92,69.01,52,1,3.36,1603042297
82,1509902,Bogandinskiy,RU,56.89,65.89,33.8,74,87,6.71,1603042338
86,3714956,Ailigandí,PA,9.23,-78.02,84.4,76,97,4.54,1603042338
87,2122293,Ozernovskiy,RU,51.5,156.52,46.2,79,80,16.62,1603042338
92,1504489,Karasuk,RU,53.74,78.04,33.96,86,8,9.53,1603042338
93,2742416,Barcelos,PT,41.54,-8.62,70.0,40,98,1.59,1603042338
94,2034400,Tongliao,CN,43.61,122.27,47.21,50,8,10.96,1603042338
97,6100069,Peace River,CA,56.25,-117.29,17.6,61,90,2.24,1603042339
99,3372707,Ribeira Grande,PT,38.52,-28.7,62.6,55,40,12.75,1603042339
101,5106841,Albany,US,42.6,-73.97,61.0,36,94,11.92,1603042339
102,5880054,Barrow,US,71.29,-156.79,21.2,79,75,14.99,1603042339
