,City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,3833367,Ushuaia,AR,-54.8,-68.3,46.4,63,40,18.34,1603042331
1,964432,Port Alfred,ZA,-33.59,26.89,63.0,79,50,9.95,1603042072
2,2075265,Busselton,AU,-33.65,115.33,61.0,49,3,9.48,1603042331
3,1067565,Beloha,MG,-25.17,45.05,66.06,77,0,18.28,1603042089
5,3366880,Hermanus,ZA,-34.42,19.23,64.0,68,61,5.08,1603042331
8,3652764,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,16.11,1603042072
13,6201424,Mataura,NZ,-46.19,168.86,46.99,92,100,1.01,1603042332
15,2063036,Port Lincoln,AU,-34.73,135.87,52.36,79,1,9.53,1603042068
22,3874787,Punta Arenas,CL,-53.15,-70.92,46.4,65,75,24.16,1603042142
24,2063042,Port Hedland,AU,-20.32,118.57,71.6,83,0,10.29,1603042332
26,4030556,Rikitea,PF,-23.12,-134.97,74.89,79,78,21.09,1603042333
29,1015776,Bredasdorp,ZA,-34.53,20.04,62.6,72,61,5.82,1603042087
30,1006984,East London,ZA,-33.02,27.91,62.6,72,50,10.29,1603042333
32,2074865,Carnarvon,AU,-24.87,113.63,69.8,83,75,12.75,1603042333
35,921786,Mitsamiouli,KM,-11.38,43.28,77.0,88,75,2.24,1603042334
39,2163355,Hobart,AU,-42.88,147.33,48.2,76,75,6.93,1603042319
40,3395981,Maceió,BR,-9.67,-35.74,84.2,58,75,11.41,1603042180
41,3664659,Carauari,BR,-4.88,-66.9,94.51,44,100,1.12,1603042334
43,3356832,Henties Bay,NA,-22.12,14.28,61.0,87,1,3.0,1603042334
47,882100,Rusape,ZW,-18.53,32.13,67.55,37,65,5.84,1603042335
49,3356343,Karasburg,NA,-28.02,18.75,83.5,13,6,14.36,1603042127
52,3347353,Menongue,AO,-14.66,17.69,77.63,18,0,5.23,1603042335
54,3407010,Assaré,BR,-6.87,-39.88,98.6,15,100,8.75,1603042335
59,1651810,Airai,TL,-8.93,125.41,60.82,71,28,2.1,1603042336
64,3661980,Tarauacá,BR,-8.16,-70.77,93.4,41,39,5.57,1603042336
68,2260401,Djambala,CG,-2.54,14.75,70.07,89,96,3.24,1603042337
70,1106677,Bambous Virieux,MU,-20.34,57.76,75.2,69,40,8.05,1603042337
73,4032243,Vaini,TO,-21.2,-175.2,69.8,88,75,10.29,1603042337
75,2094027,Kieta,PG,-6.22,155.63,78.94,76,87,1.21,1603042337
78,1282256,Hithadhoo,MV,-0.6,73.08,83.7,77,100,16.28,1603042082
83,2155415,New Norfolk,AU,-42.78,147.06,48.2,76,75,6.93,1603042073
84,4035715,Avarua,CK,-21.21,-159.78,69.8,94,50,5.82,1603042157
85,3401148,Cururupu,BR,-1.83,-44.87,88.0,54,98,7.76,1603042338
88,1633419,Padang,ID,-0.95,100.35,78.46,76,74,3.47,1603042338
89,3466980,Caravelas,BR,-17.71,-39.25,77.77,67,44,10.94,1603042338
90,2082539,Merauke,ID,-8.47,140.33,78.67,82,100,10.98,1603042149
91,2071860,Esperance,AU,-33.87,121.9,55.4,87,94,10.29,1603042066
95,1636308,Manokwari,ID,-0.87,134.08,80.67,75,100,3.94,1603042094
96,3466704,Castro,BR,-24.79,-50.01,71.51,67,100,7.72,1603042339
98,3397967,Itaituba,BR,-4.28,-55.98,101.95,26,70,4.07,1603042339
100,878549,Zvishavane,ZW,-20.33,30.07,79.99,25,0,5.77,1603042339
103,2206939,Bluff,NZ,-46.6,168.33,46.99,92,100,1.01,1603042339
107,3430863,Mar del Plata,AR,-38.0,-57.56,78.8,74,68,6.93,1603042340
109,3443061,Chui,UY,-33.7,-53.46,77.67,47,0,7.16,1603042340
114,885800,Mount Darwin,ZW,-16.77,31.58,77.56,24,3,4.54,1603042340
120,3899695,Ancud,CL,-41.87,-73.82,55.0,87,90,20.8,1603042341
121,3386177,Trairi,BR,-3.28,-39.27,85.37,54,70,16.2,1603042314
125,2194098,Ahipara,NZ,-35.17,173.17,56.25,93,61,6.85,1603042341
126,3457817,Marau,BR,-28.45,-52.2,85.68,34,0,0.72,1603042341
128,933178,Pandamatenga,BW,-18.53,25.63,79.11,17,0,5.35,1603042342
130,4033557,Tautira,PF,-17.73,-149.15,78.8,78,40,2.24,1603042342
134,3883457,Lebu,CL,-37.62,-73.65,55.58,63,0,9.08,1603042342
137,2068079,Kwinana,AU,-32.25,115.77,62.01,100,0,9.17,1603042342
139,3658053,El Triunfo,EC,-1.93,-79.97,86.0,58,20,10.29,1603042343
140,3663475,Maraã,BR,-1.83,-65.37,89.89,54,32,1.61,1603042343
141,2180815,Tuatapere,NZ,-46.13,167.68,46.99,92,100,1.01,1603042343
144,1045114,Inhambane,MZ,-23.86,35.38,75.2,69,0,11.41,1603042343
153,4020109,Atuona,PF,-9.8,-139.03,77.95,77,15,18.43,1603042344
155,3908339,Patacamaya,BO,-17.23,-67.92,57.33,37,87,9.78,1603042344
159,986717,Kruisfontein,ZA,-34.0,24.73,60.01,73,22,4.63,1603042344
163,4036284,Alofi,NU,-19.06,-169.92,77.0,94,87,3.36,1603042107
165,2142316,Yeppoon,AU,-23.13,150.73,66.2,82,3,4.88,1603042345
166,2094342,Kavieng,PG,-2.57,150.8,81.97,76,28,10.6,1603042345
167,934322,Mahébourg,MU,-20.41,57.7,75.2,69,40,8.05,1603042345
169,3450083,Santa Maria,BR,-29.68,-53.81,87.28,41,0,3.53,1603042319
171,3369157,Cape Town,ZA,-33.93,18.42,63.0,72,20,14.99,1603042256
172,218680,Boende,CD,-0.22,20.87,73.58,95,99,2.42,1603042345
173,3691582,Talara,PE,-4.58,-81.27,69.19,73,33,21.74,1603042131
174,2177671,Armidale,AU,-30.52,151.65,48.99,93,100,1.01,1603042346
175,1054329,Vangaindrano,MG,-23.35,47.6,68.88,86,97,5.7,1603042346
179,935215,Saint-Philippe,RE,-21.36,55.77,73.4,73,23,8.05,1603042346
187,1024552,Xai-Xai,MZ,-25.05,33.64,78.3,57,0,13.47,1603042347
188,935214,Saint-Pierre,RE,-21.34,55.48,73.4,73,3,8.05,1603042347
190,3435038,Dolores,AR,-36.31,-57.68,86.61,55,20,7.0,1603042347
195,3691954,Sechura,PE,-5.56,-80.82,77.4,53,16,15.99,1603042348
197,6355222,Yulara,AU,-25.24,130.99,68.0,88,90,14.99,1603042348
199,1621655,Weleri,ID,-6.97,110.07,64.99,73,98,3.38,1603042348
200,3386213,Touros,BR,-5.2,-35.46,84.2,66,40,10.29,1603042069
214,2146219,Hervey Bay,AU,-25.3,152.85,66.99,82,50,4.7,1603042350
223,8079926,Labuhan,ID,-6.88,112.21,79.29,79,55,7.45,1603042351
225,3361934,Saldanha,ZA,-33.01,17.94,64.4,59,38,16.11,1603042351
226,2064735,Nhulunbuy,AU,-12.23,136.77,73.4,88,69,4.81,1603042351
228,3936456,Lima,PE,-12.04,-77.03,66.2,68,90,4.7,1603042157
