City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
3833367,Ushuaia,AR,-54.8,-68.3,46.4,63,40,18.34,1603042331
964432,Port Alfred,ZA,-33.59,26.89,63.0,79,50,9.95,1603042072
2075265,Busselton,AU,-33.65,115.33,61.0,49,3,9.48,1603042331
1067565,Beloha,MG,-25.17,45.05,66.06,77,0,18.28,1603042089
1254046,Tura,IN,25.52,90.22,74.25,89,0,2.28,1603042087
3366880,Hermanus,ZA,-34.42,19.23,64.0,68,61,5.08,1603042331
3708911,Guararé,PA,7.82,-80.28,82.4,83,75,6.93,1603042331
3831208,Qaanaaq,GL,77.48,-69.36,32.13,91,92,7.43,1603042075
3652764,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,16.11,1603042072
2126199,Cherskiy,RU,68.75,161.3,19.45,92,80,7.78,1603042331
4845585,Westport,US,41.14,-73.36,64.0,48,20,11.41,1603042331
1272140,Dwārka,IN,22.24,68.97,83.77,81,0,12.68,1603042331
6170031,Tuktoyaktuk,CA,69.45,-133.04,10.4,92,20,5.82,1603042332
6201424,Mataura,NZ,-46.19,168.86,46.99,92,100,1.01,1603042332
5122534,Jamestown,US,42.1,-79.24,59.0,43,1,13.87,1603042087
2063036,Port Lincoln,AU,-34.73,135.87,52.36,79,1,9.53,1603042068
1735106,George Town,MY,5.41,100.34,82.4,88,20,6.4,1603042066
3424607,Tasiilaq,GL,65.61,-37.64,33.8,74,35,17.22,1603042332
2110227,Butaritari,KI,3.07,172.79,81.61,73,68,17.72,1603042063
2017155,Saskylakh,RU,71.92,114.08,19.09,97,97,5.64,1603042332
6165406,Thompson,CA,55.74,-97.86,26.6,92,90,6.93,1603042332
1731298,Aloleng,PH,16.13,119.78,79.65,80,87,7.81,1603042332
3874787,Punta Arenas,CL,-53.15,-70.92,46.4,65,75,24.16,1603042142
2416061,Sanguéya,GN,10.7,-14.37,84.22,82,92,2.91,1603042332
2063042,Port Hedland,AU,-20.32,118.57,71.6,83,0,10.29,1603042332
2128975,Nemuro,JP,43.32,145.57,54.23,75,0,15.26,1603042333
4030556,Rikitea,PF,-23.12,-134.97,74.89,79,78,21.09,1603042333
6089245,Norman Wells,CA,65.28,-126.83,6.8,92,40,5.82,1603042333
2028164,Deputatsky,RU,69.3,139.9,13.48,96,100,9.48,1603042333
1015776,Bredasdorp,ZA,-34.53,20.04,62.6,72,61,5.82,1603042087
1006984,East London,ZA,-33.02,27.91,62.6,72,50,10.29,1603042333
517958,Novosheshminsk,RU,55.07,51.23,48.97,79,100,22.57,1603042333
2074865,Carnarvon,AU,-24.87,113.63,69.8,83,75,12.75,1603042333
2956093,Angermünde,DE,53.02,14.0,46.0,79,91,8.32,1603042333
6185377,Yellowknife,CA,62.46,-114.35,27.0,92,90,6.93,1603042333
921786,Mitsamiouli,KM,-11.38,43.28,77.0,88,75,2.24,1603042334
698247,Ostër,UA,50.95,30.88,48.99,88,85,11.56,1603042334
4231997,Avera,US,33.19,-82.53,69.8,60,40,6.93,1603042151
3984997,San Quintín,MX,30.48,-115.95,81.37,44,44,13.47,1603042334
2163355,Hobart,AU,-42.88,147.33,48.2,76,75,6.93,1603042319
3395981,Maceió,BR,-9.67,-35.74,84.2,58,75,11.41,1603042180
3664659,Carauari,BR,-4.88,-66.9,94.51,44,100,1.12,1603042334
546105,Nikolskoye,RU,59.7,30.79,36.0,93,90,4.47,1603042334
3356832,Henties Bay,NA,-22.12,14.28,61.0,87,1,3.0,1603042334
5848280,Kapaa,US,22.08,-159.32,78.8,88,75,8.05,1603042334
1267390,Kavaratti,IN,10.57,72.64,81.25,78,1,10.94,1603042334
2025456,Chernyshevskiy,RU,63.01,112.47,16.34,97,30,6.51,1603042335
882100,Rusape,ZW,-18.53,32.13,67.55,37,65,5.84,1603042335
1244926,Hambantota,LK,6.12,81.12,78.91,79,69,15.68,1603042335
3356343,Karasburg,NA,-28.02,18.75,83.5,13,6,14.36,1603042127
4272340,Great Bend,US,38.36,-98.76,41.0,64,90,21.92,1603042317
141665,Bandar-e Lengeh,IR,26.56,54.88,77.0,44,0,4.7,1603042335
3347353,Menongue,AO,-14.66,17.69,77.63,18,0,5.23,1603042335
1505965,Igrim,RU,63.19,64.42,29.95,94,71,6.91,1603042335
3407010,Assaré,BR,-6.87,-39.88,98.6,15,100,8.75,1603042335
5062292,Valley City,US,46.92,-98.0,30.2,58,90,14.99,1603042335
1519030,Chu,KZ,43.6,73.76,50.31,42,0,2.42,1603042335
2338660,Yaan,NG,7.38,8.57,76.93,83,57,2.53,1603042336
3985710,Cabo San Lucas,MX,22.89,-109.91,90.0,70,5,10.29,1603042224
1651810,Airai,TL,-8.93,125.41,60.82,71,28,2.1,1603042336
1526038,Atbasar,KZ,51.8,68.33,36.32,71,14,3.27,1603042336
2294915,Takoradze,GH,4.88,-1.76,77.97,87,78,9.35,1603042336
1170219,Mithi,PK,24.73,69.8,89.67,57,10,3.04,1603042336
1715015,Dicabisagan,PH,17.08,122.42,77.22,85,50,7.4,1603042336
3661980,Tarauacá,BR,-8.16,-70.77,93.4,41,39,5.57,1603042336
3035883,Autun,FR,46.95,4.3,53.6,54,90,3.36,1603042336
3175096,Laas,IT,46.62,10.7,46.0,65,5,0.76,1603042336
2392505,Nikki,BJ,9.94,3.21,80.15,65,0,3.02,1603042336
