,City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,6185377,Yellowknife,CA,62.46,-114.35,25.0,85,90,16.11,1602901586
1,1507390,Dikson,RU,73.51,80.55,17.96,95,4,15.03,1602901814
2,964432,Port Alfred,ZA,-33.59,26.89,61.74,82,14,8.05,1602901814
3,934322,Mahébourg,MU,-20.41,57.7,69.8,88,40,5.82,1602901814
4,3833367,Ushuaia,AR,-54.8,-68.3,41.0,65,40,19.46,1602901815
5,2449893,Tessalit,ML,20.2,1.01,81.32,16,0,8.66,1602901815
6,935215,Saint-Philippe,RE,-21.36,55.77,70.0,52,1,4.7,1602901815
7,2214432,Nālūt,LY,30.33,10.85,62.87,75,66,17.34,1602901815
8,2121385,Severo-Kuril'sk,RU,50.68,156.12,43.57,66,83,25.66,1602901815
9,5282297,Bethel,US,41.37,-73.41,46.99,93,90,8.05,1602901749
10,2110227,Butaritari,KI,3.07,172.79,81.93,76,4,13.4,1602901815
11,2292542,Ayamé,CI,5.61,-3.16,72.75,97,87,2.46,1602901816
12,4020109,Atuona,PF,-9.8,-139.03,78.73,73,1,18.48,1602901816
13,6089245,Norman Wells,CA,65.28,-126.83,21.2,67,75,21.92,1602901809
14,2075265,Busselton,AU,-33.65,115.33,71.01,40,0,5.39,1602901816
15,4030556,Rikitea,PF,-23.12,-134.97,74.46,80,100,19.01,1602901816
16,3471451,Arraial do Cabo,BR,-22.97,-42.03,69.24,75,100,4.74,1602901817
17,4035715,Avarua,CK,-21.21,-159.78,77.0,69,84,10.29,1602901817
18,2431736,Goundi,TD,9.36,17.37,71.31,92,67,3.42,1602901817
19,4034551,Faanui,PF,-16.48,-151.75,79.68,78,36,9.1,1602901817
20,5797693,Hoquiam,US,46.98,-123.89,60.01,77,90,14.99,1602901817
21,5546220,Saint George,US,37.1,-113.58,73.4,10,1,3.36,1602901817
22,2063036,Port Lincoln,AU,-34.73,135.87,55.92,64,99,11.72,1602901817
23,6170031,Tuktoyaktuk,CA,69.45,-133.04,21.2,85,90,18.34,1602901817
24,4032243,Vaini,TO,-21.2,-175.2,78.8,83,75,16.11,1602901818
25,3566573,Cabañas,CU,22.98,-82.92,78.8,100,40,10.29,1602901818
26,2206939,Bluff,NZ,-46.6,168.33,57.0,59,29,1.01,1602901818
27,1649150,Bengkulu,ID,-3.8,102.27,84.0,65,44,2.98,1602901818
28,2126123,Chokurdakh,RU,70.63,147.92,28.44,98,100,7.02,1602901818
29,1819729,Hong Kong,HK,22.29,114.16,80.01,70,19,5.01,1602901801
30,5848280,Kapaa,US,22.08,-159.32,82.4,74,1,9.17,1602901637
31,3412093,Vestmannaeyjar,IS,63.44,-20.27,44.82,67,94,4.79,1602901818
32,5106841,Albany,US,42.6,-73.97,46.99,76,100,1.01,1602901759
33,296852,Erzin,TR,36.96,36.2,70.0,79,1,1.83,1602901819
34,5515743,Guymon,US,36.68,-101.48,55.4,32,1,12.75,1602901819
35,4333811,Morgan City,US,29.7,-91.21,64.4,82,90,4.7,1602901540
36,3661980,Tarauacá,BR,-8.16,-70.77,72.52,95,100,1.61,1602901783
37,3838859,Río Gallegos,AR,-51.62,-69.22,44.6,70,93,6.93,1602901819
38,293842,Kiryat Gat,IL,31.61,34.76,71.01,92,1,3.78,1602901819
39,1591474,Bac Lieu,VN,9.29,105.72,84.51,74,100,12.48,1602901819
40,3466704,Castro,BR,-24.79,-50.01,52.66,91,50,9.86,1602901819
41,2092164,Lorengau,PG,-2.02,147.27,83.62,78,100,8.46,1602901820
42,6165406,Thompson,CA,55.74,-97.86,26.6,92,75,9.17,1602901820
43,2022572,Khatanga,RU,71.97,102.5,0.43,89,0,4.72,1602901820
44,134601,Fareydūnshahr,IR,32.94,50.12,34.95,56,0,3.74,1602901820
45,934649,Cap Malheureux,MU,-19.98,57.61,70.0,81,2,3.0,1602901820
46,6201424,Mataura,NZ,-46.19,168.86,57.0,59,69,1.01,1602901820
47,4034496,Fare,PF,-16.7,-151.02,79.59,78,51,8.75,1602901821
48,2036075,Lingyuan,CN,41.24,119.4,62.38,27,0,13.18,1602901821
49,2120048,Ust-Nera,RU,64.57,143.2,17.78,87,100,8.25,1602901821
50,546105,Nikolskoye,RU,59.7,30.79,33.8,80,76,2.24,1602901821
51,3985710,Cabo San Lucas,MX,22.89,-109.91,84.2,74,5,3.67,1602901821
52,4231997,Avera,US,33.19,-82.53,60.8,72,1,9.17,1602901821
53,2352250,Afikpo,NG,5.89,7.94,73.02,100,100,2.15,1602901821
54,3932145,Pisco,PE,-13.7,-76.22,63.0,82,0,14.99,1602901822
55,2163355,Hobart,AU,-42.88,147.33,52.0,76,75,4.7,1602901694
56,3374083,Bathsheba,BB,13.22,-59.52,80.6,83,6,11.41,1602901822
57,3489440,Morant Bay,JM,17.88,-76.41,84.2,79,20,3.36,1602901822
58,5870133,Nome,US,64.5,-165.41,39.2,86,90,29.97,1602901822
59,3883457,Lebu,CL,-37.62,-73.65,49.84,94,81,2.82,1602901822
60,3893629,Coquimbo,CL,-29.95,-71.34,53.6,87,2,3.36,1602901656
61,4031574,Provideniya,RU,64.38,-173.3,38.91,91,8,8.72,1602901823
62,217745,Bumba,CD,2.18,22.47,69.24,96,29,1.34,1602901823
63,997751,Harrismith,ZA,-28.27,29.13,51.17,86,0,4.16,1602901823
64,4031637,Lavrentiya,RU,65.58,-171.0,38.84,95,100,13.4,1602901823
65,2070998,Geraldton,AU,-28.77,114.6,69.8,46,90,13.87,1602901823
66,2119283,Zyryanka,RU,65.75,150.85,29.61,98,100,10.29,1602901823
67,1253237,Verāval,IN,20.9,70.37,84.34,77,100,13.58,1602901823
68,1106677,Bambous Virieux,MU,-20.34,57.76,70.0,88,40,5.82,1602901823
69,4705349,Laredo,US,27.51,-99.51,62.6,77,90,8.05,1602901803
70,1282256,Hithadhoo,MV,-0.6,73.08,83.73,72,8,20.15,1602901824
71,3386213,Touros,BR,-5.2,-35.46,77.0,83,20,5.82,1602901824
72,2021618,Krasnokamensk,RU,50.1,118.04,34.86,81,25,13.71,1602901825
73,100926,Umluj,SA,25.02,37.27,82.69,42,0,8.28,1602901825
74,2015306,Tiksi,RU,71.69,128.87,25.9,98,100,8.46,1602901826
75,3645532,Ciudad Bolivar,VE,8.12,-63.55,80.8,72,47,9.48,1602901826
76,1293960,Taunggyi,MM,20.78,97.03,64.33,100,100,2.33,1602901826
77,5746545,Portland,US,45.52,-122.68,64.0,67,75,2.01,1602901755
78,921786,Mitsamiouli,KM,-11.38,43.28,77.85,73,8,4.0,1602901827
79,3366880,Hermanus,ZA,-34.42,19.23,52.0,96,42,4.5,1602901827
80,3374210,São Filipe,CV,14.9,-24.5,80.01,82,100,2.13,1602901827
81,5712169,Baker City,US,44.77,-117.83,57.2,44,1,3.36,1602901828
82,1633419,Padang,ID,-0.95,100.35,85.6,58,98,3.51,1602901828
83,2108857,Gizo Government Station,SB,-8.1,156.84,84.79,69,78,6.02,1602901829
84,3372707,Ribeira Grande,PT,38.52,-28.7,63.54,66,82,8.52,1602901829
85,2147714,Sydney,AU,-33.87,151.21,77.0,60,75,18.34,1602901632
86,3358666,Aranos,NA,-24.13,19.12,70.23,26,79,14.25,1602901830
87,1161724,Chabahar,IR,25.29,60.64,62.6,48,0,11.41,1602901831
88,1283679,Banepā,NP,27.63,85.52,68.0,68,40,1.41,1602901831
89,5855927,Hilo,US,19.73,-155.09,87.8,58,1,13.87,1602901272
90,2136825,Isangel,VU,-19.55,169.27,78.8,78,75,5.82,1602901831
91,373303,Juba,SS,4.85,31.58,70.63,92,73,2.89,1602901831
92,3164387,Vieste,IT,41.88,16.18,48.99,81,5,8.05,1602901831
93,2629833,Husavik,IS,66.04,-17.34,39.2,86,90,5.82,1602901831
94,6167817,Torbay,CA,47.67,-52.73,50.0,100,90,2.8,1602901831
95,1861285,Itoigawa,JP,37.03,137.85,53.01,100,100,0.58,1602901832
96,4920986,Griffith,US,41.53,-87.42,44.6,56,1,5.82,1602901832
97,1015776,Bredasdorp,ZA,-34.53,20.04,53.6,100,60,4.7,1602901832
98,1625908,Sungai Raya,ID,0.7,108.9,87.6,61,56,9.82,1602901832
